,1002,1004,1006,1008,1010,1012,1014,1016,1018,1020,1022,1024,1026,1028,1030,1032,1034,1036,1038,1040,1042,1044,1046,1048,1050,1052,1054,1056,1058,1060,1062,1064,1066,1068,1070,1072,1074,1076,1078,1080,1082,1084,1086,1088,1090,1092,1094,1096,1098,1100,1102,1104,1106,1108,1110,1112,1114,1116,1118,1120,1122,1124,1126,1128,1130,1132,1134,1136,1138,1140,1142,1144,1146,1148,1150,1152,1154,1156,1158,1160,1162,1164,1166,1168,1170,1172,1174,1176,1178,1180,1182,1184,1186,1188,1190,1192,1194,1196,1198,1200,1202,1204,1206,1208,1210,1212,1214,1216,1218,1220,1222,1224,1226,1228,1230,1232,1234,1236,1238,1240,1242,1244,1246,1248,1250,1252,1254,1256,1258,1260,1262,1264,1266,1268,1270,1272,1274,1276,1278,1280,1282,1284,1286,1288,1290,1292,1294,1296
설화명곡,06:13:50,06:25:00,06:37:00,06:48:00,06:58:00,07:08:00,07:17:00,07:26:00,07:34:00,07:42:00,07:50:00,07:57:00,08:04:00,08:11:00,08:18:00,08:24:00,08:29:00,08:34:00,08:39:00,08:44:00,08:49:00,08:54:00,08:59:00,09:04:00,09:09:00,09:14:00,09:19:00,09:24:00,09:29:00,09:34:00,09:39:00,09:44:00,09:49:00,09:54:00,09:59:00,10:04:00,10:10:00,10:16:00,10:22:00,10:29:00,10:36:00,10:44:00,10:52:00,11:00:00,11:08:00,11:16:00,11:24:00,11:32:00,11:40:00,11:48:00,11:56:00,12:04:00,12:12:00,12:20:00,12:28:00,12:36:00,12:44:00,12:52:00,13:00:00,13:08:00,13:16:00,13:24:00,13:32:00,13:40:00,13:48:00,13:56:00,14:04:00,14:12:00,14:20:00,14:28:00,14:36:00,14:44:00,14:52:00,15:00:00,15:08:00,15:16:00,15:24:00,15:32:00,15:40:00,15:48:00,15:56:00,16:04:00,16:12:00,16:20:00,16:28:00,16:36:00,16:44:00,16:52:00,17:00:00,17:08:00,17:16:00,17:24:00,17:32:00,17:40:00,17:48:00,17:55:00,18:02:00,18:08:00,18:13:00,18:18:00,18:23:00,18:28:00,18:33:00,18:38:00,18:43:00,18:48:00,18:53:00,18:58:00,19:03:00,19:08:00,19:13:00,19:18:00,19:23:00,19:29:00,19:35:00,19:42:00,19:50:00,19:58:00,20:06:00,20:14:00,20:22:00,20:30:00,20:38:00,20:46:00,20:54:00,21:02:00,21:10:00,21:18:00,21:26:00,21:34:00,21:42:00,21:50:00,21:58:00,22:06:00,22:14:00,22:22:00,22:30:00,22:38:00,22:46:00,22:54:00,23:02:00,23:10:00,23:19:00,23:29:00,23:40:00,23:52:00,00:04:30,
화원,06:11:35,06:22:45,06:34:45,06:45:45,06:55:45,07:05:45,07:14:45,07:23:45,07:31:45,07:39:45,07:47:45,07:54:45,08:01:45,08:08:45,08:15:45,08:21:45,08:26:45,08:31:45,08:36:45,08:41:45,08:46:45,08:51:45,08:56:45,09:01:45,09:06:45,09:11:45,09:16:45,09:21:45,09:26:45,09:31:45,09:36:45,09:41:45,09:46:45,09:51:45,09:56:45,10:01:45,10:07:45,10:13:45,10:19:45,10:26:45,10:33:45,10:41:45,10:49:45,10:57:45,11:05:45,11:13:45,11:21:45,11:29:45,11:37:45,11:45:45,11:53:45,12:01:45,12:09:45,12:17:45,12:25:45,12:33:45,12:41:45,12:49:45,12:57:45,13:05:45,13:13:45,13:21:45,13:29:45,13:37:45,13:45:45,13:53:45,14:01:45,14:09:45,14:17:45,14:25:45,14:33:45,14:41:45,14:49:45,14:57:45,15:05:45,15:13:45,15:21:45,15:29:45,15:37:45,15:45:45,15:53:45,16:01:45,16:09:45,16:17:45,16:25:45,16:33:45,16:41:45,16:49:45,16:57:45,17:05:45,17:13:45,17:21:45,17:29:45,17:37:45,17:45:45,17:52:45,17:59:45,18:05:45,18:10:45,18:15:45,18:20:45,18:25:45,18:30:45,18:35:45,18:40:45,18:45:45,18:50:45,18:55:45,19:00:45,19:05:45,19:10:45,19:15:45,19:20:45,19:26:45,19:32:45,19:39:45,19:47:45,19:55:45,20:03:45,20:11:45,20:19:45,20:27:45,20:35:45,20:43:45,20:51:45,20:59:45,21:07:45,21:15:45,21:23:45,21:31:45,21:39:45,21:47:45,21:55:45,22:03:45,22:11:45,22:19:45,22:27:45,22:35:45,22:43:45,22:51:45,22:59:45,23:07:45,23:16:45,23:26:45,23:37:45,23:49:45,00:02:15,
대곡,06:09:20,06:20:30,06:32:30,06:43:30,06:53:30,07:03:30,07:12:30,07:21:30,07:29:30,07:37:30,07:45:30,07:52:30,07:59:30,08:06:30,08:13:30,08:19:30,08:24:30,08:29:30,08:34:30,08:39:30,08:44:30,08:49:30,08:54:30,08:59:30,09:04:30,09:09:30,09:14:30,09:19:30,09:24:30,09:29:30,09:34:30,09:39:30,09:44:30,09:49:30,09:54:30,09:59:30,10:05:30,10:11:30,10:17:30,10:24:30,10:31:30,10:39:30,10:47:30,10:55:30,11:03:30,11:11:30,11:19:30,11:27:30,11:35:30,11:43:30,11:51:30,11:59:30,12:07:30,12:15:30,12:23:30,12:31:30,12:39:30,12:47:30,12:55:30,13:03:30,13:11:30,13:19:30,13:27:30,13:35:30,13:43:30,13:51:30,13:59:30,14:07:30,14:15:30,14:23:30,14:31:30,14:39:30,14:47:30,14:55:30,15:03:30,15:11:30,15:19:30,15:27:30,15:35:30,15:43:30,15:51:30,15:59:30,16:07:30,16:15:30,16:23:30,16:31:30,16:39:30,16:47:30,16:55:30,17:03:30,17:11:30,17:19:30,17:27:30,17:35:30,17:43:30,17:50:30,17:57:30,18:03:30,18:08:30,18:13:30,18:18:30,18:23:30,18:28:30,18:33:30,18:38:30,18:43:30,18:48:30,18:53:30,18:58:30,19:03:30,19:08:30,19:13:30,19:18:30,19:24:30,19:30:30,19:37:30,19:45:30,19:53:30,20:01:30,20:09:30,20:17:30,20:25:30,20:33:30,20:41:30,20:49:30,20:57:30,21:05:30,21:13:30,21:21:30,21:29:30,21:37:30,21:45:30,21:53:30,22:01:30,22:09:30,22:17:30,22:25:30,22:33:30,22:41:30,22:49:30,22:57:30,23:05:30,23:14:30,23:24:30,23:35:30,23:47:30,00:00:00,
진천,06:07:15,06:18:25,06:30:25,06:41:25,06:51:25,07:01:25,07:10:25,07:19:25,07:27:25,07:35:25,07:43:25,07:50:25,07:57:25,08:04:25,08:11:25,08:17:25,08:22:25,08:27:25,08:32:25,08:37:25,08:42:25,08:47:25,08:52:25,08:57:25,09:02:25,09:07:25,09:12:25,09:17:25,09:22:25,09:27:25,09:32:25,09:37:25,09:42:25,09:47:25,09:52:25,09:57:25,10:03:25,10:09:25,10:15:25,10:22:25,10:29:25,10:37:25,10:45:25,10:53:25,11:01:25,11:09:25,11:17:25,11:25:25,11:33:25,11:41:25,11:49:25,11:57:25,12:05:25,12:13:25,12:21:25,12:29:25,12:37:25,12:45:25,12:53:25,13:01:25,13:09:25,13:17:25,13:25:25,13:33:25,13:41:25,13:49:25,13:57:25,14:05:25,14:13:25,14:21:25,14:29:25,14:37:25,14:45:25,14:53:25,15:01:25,15:09:25,15:17:25,15:25:25,15:33:25,15:41:25,15:49:25,15:57:25,16:05:25,16:13:25,16:21:25,16:29:25,16:37:25,16:45:25,16:53:25,17:01:25,17:09:25,17:17:25,17:25:25,17:33:25,17:41:25,17:48:25,17:55:25,18:01:25,18:06:25,18:11:25,18:16:25,18:21:25,18:26:25,18:31:25,18:36:25,18:41:25,18:46:25,18:51:25,18:56:25,19:01:25,19:06:25,19:11:25,19:16:25,19:22:25,19:28:25,19:35:25,19:43:25,19:51:25,19:59:25,20:07:25,20:15:25,20:23:25,20:31:25,20:39:25,20:47:25,20:55:25,21:03:25,21:11:25,21:19:25,21:27:25,21:35:25,21:43:25,21:51:25,21:59:25,22:07:25,22:15:25,22:23:25,22:31:25,22:39:25,22:47:25,22:55:25,23:03:25,23:12:25,23:22:25,23:33:25,23:45:25,23:57:55,
월배,06:05:40,06:16:50,06:28:50,06:39:50,06:49:50,06:59:50,07:08:50,07:17:50,07:25:50,07:33:50,07:41:50,07:48:50,07:55:50,08:02:50,08:09:50,08:15:50,08:20:50,08:25:50,08:30:50,08:35:50,08:40:50,08:45:50,08:50:50,08:55:50,09:00:50,09:05:50,09:10:50,09:15:50,09:20:50,09:25:50,09:30:50,09:35:50,09:40:50,09:45:50,09:50:50,09:55:50,10:01:50,10:07:50,10:13:50,10:20:50,10:27:50,10:35:50,10:43:50,10:51:50,10:59:50,11:07:50,11:15:50,11:23:50,11:31:50,11:39:50,11:47:50,11:55:50,12:03:50,12:11:50,12:19:50,12:27:50,12:35:50,12:43:50,12:51:50,12:59:50,13:07:50,13:15:50,13:23:50,13:31:50,13:39:50,13:47:50,13:55:50,14:03:50,14:11:50,14:19:50,14:27:50,14:35:50,14:43:50,14:51:50,14:59:50,15:07:50,15:15:50,15:23:50,15:31:50,15:39:50,15:47:50,15:55:50,16:03:50,16:11:50,16:19:50,16:27:50,16:35:50,16:43:50,16:51:50,16:59:50,17:07:50,17:15:50,17:23:50,17:31:50,17:39:50,17:46:50,17:53:50,17:59:50,18:04:50,18:09:50,18:14:50,18:19:50,18:24:50,18:29:50,18:34:50,18:39:50,18:44:50,18:49:50,18:54:50,18:59:50,19:04:50,19:09:50,19:14:50,19:20:50,19:26:50,19:33:50,19:41:50,19:49:50,19:57:50,20:05:50,20:13:50,20:21:50,20:29:50,20:37:50,20:45:50,20:53:50,21:01:50,21:09:50,21:17:50,21:25:50,21:33:50,21:41:50,21:49:50,21:57:50,22:05:50,22:13:50,22:21:50,22:29:50,22:37:50,22:45:50,22:53:50,23:01:50,23:10:50,23:20:50,23:31:50,23:43:50,23:56:20,
상인,06:04:05,06:15:15,06:27:15,06:38:15,06:48:15,06:58:15,07:07:15,07:16:15,07:24:15,07:32:15,07:40:15,07:47:15,07:54:15,08:01:15,08:08:15,08:14:15,08:19:15,08:24:15,08:29:15,08:34:15,08:39:15,08:44:15,08:49:15,08:54:15,08:59:15,09:04:15,09:09:15,09:14:15,09:19:15,09:24:15,09:29:15,09:34:15,09:39:15,09:44:15,09:49:15,09:54:15,10:00:15,10:06:15,10:12:15,10:19:15,10:26:15,10:34:15,10:42:15,10:50:15,10:58:15,11:06:15,11:14:15,11:22:15,11:30:15,11:38:15,11:46:15,11:54:15,12:02:15,12:10:15,12:18:15,12:26:15,12:34:15,12:42:15,12:50:15,12:58:15,13:06:15,13:14:15,13:22:15,13:30:15,13:38:15,13:46:15,13:54:15,14:02:15,14:10:15,14:18:15,14:26:15,14:34:15,14:42:15,14:50:15,14:58:15,15:06:15,15:14:15,15:22:15,15:30:15,15:38:15,15:46:15,15:54:15,16:02:15,16:10:15,16:18:15,16:26:15,16:34:15,16:42:15,16:50:15,16:58:15,17:06:15,17:14:15,17:22:15,17:30:15,17:38:15,17:45:15,17:52:15,17:58:15,18:03:15,18:08:15,18:13:15,18:18:15,18:23:15,18:28:15,18:33:15,18:38:15,18:43:15,18:48:15,18:53:15,18:58:15,19:03:15,19:08:15,19:13:15,19:19:15,19:25:15,19:32:15,19:40:15,19:48:15,19:56:15,20:04:15,20:12:15,20:20:15,20:28:15,20:36:15,20:44:15,20:52:15,21:00:15,21:08:15,21:16:15,21:24:15,21:32:15,21:40:15,21:48:15,21:56:15,22:04:15,22:12:15,22:20:15,22:28:15,22:36:15,22:44:15,22:52:15,23:00:15,23:09:15,23:19:15,23:30:15,23:42:15,23:54:45,
월촌,06:02:20,06:13:30,06:25:30,06:36:30,06:46:30,06:56:30,07:05:30,07:14:30,07:22:30,07:30:30,07:38:30,07:45:30,07:52:30,07:59:30,08:06:30,08:12:30,08:17:30,08:22:30,08:27:30,08:32:30,08:37:30,08:42:30,08:47:30,08:52:30,08:57:30,09:02:30,09:07:30,09:12:30,09:17:30,09:22:30,09:27:30,09:32:30,09:37:30,09:42:30,09:47:30,09:52:30,09:58:30,10:04:30,10:10:30,10:17:30,10:24:30,10:32:30,10:40:30,10:48:30,10:56:30,11:04:30,11:12:30,11:20:30,11:28:30,11:36:30,11:44:30,11:52:30,12:00:30,12:08:30,12:16:30,12:24:30,12:32:30,12:40:30,12:48:30,12:56:30,13:04:30,13:12:30,13:20:30,13:28:30,13:36:30,13:44:30,13:52:30,14:00:30,14:08:30,14:16:30,14:24:30,14:32:30,14:40:30,14:48:30,14:56:30,15:04:30,15:12:30,15:20:30,15:28:30,15:36:30,15:44:30,15:52:30,16:00:30,16:08:30,16:16:30,16:24:30,16:32:30,16:40:30,16:48:30,16:56:30,17:04:30,17:12:30,17:20:30,17:28:30,17:36:30,17:43:30,17:50:30,17:56:30,18:01:30,18:06:30,18:11:30,18:16:30,18:21:30,18:26:30,18:31:30,18:36:30,18:41:30,18:46:30,18:51:30,18:56:30,19:01:30,19:06:30,19:11:30,19:17:30,19:23:30,19:30:30,19:38:30,19:46:30,19:54:30,20:02:30,20:10:30,20:18:30,20:26:30,20:34:30,20:42:30,20:50:30,20:58:30,21:06:30,21:14:30,21:22:30,21:30:30,21:38:30,21:46:30,21:54:30,22:02:30,22:10:30,22:18:30,22:26:30,22:34:30,22:42:30,22:50:30,22:58:30,23:07:30,23:17:30,23:28:30,23:40:30,23:53:00,
송현,06:00:35,06:11:45,06:23:45,06:34:45,06:44:45,06:54:45,07:03:45,07:12:45,07:20:45,07:28:45,07:36:45,07:43:45,07:50:45,07:57:45,08:04:45,08:10:45,08:15:45,08:20:45,08:25:45,08:30:45,08:35:45,08:40:45,08:45:45,08:50:45,08:55:45,09:00:45,09:05:45,09:10:45,09:15:45,09:20:45,09:25:45,09:30:45,09:35:45,09:40:45,09:45:45,09:50:45,09:56:45,10:02:45,10:08:45,10:15:45,10:22:45,10:30:45,10:38:45,10:46:45,10:54:45,11:02:45,11:10:45,11:18:45,11:26:45,11:34:45,11:42:45,11:50:45,11:58:45,12:06:45,12:14:45,12:22:45,12:30:45,12:38:45,12:46:45,12:54:45,13:02:45,13:10:45,13:18:45,13:26:45,13:34:45,13:42:45,13:50:45,13:58:45,14:06:45,14:14:45,14:22:45,14:30:45,14:38:45,14:46:45,14:54:45,15:02:45,15:10:45,15:18:45,15:26:45,15:34:45,15:42:45,15:50:45,15:58:45,16:06:45,16:14:45,16:22:45,16:30:45,16:38:45,16:46:45,16:54:45,17:02:45,17:10:45,17:18:45,17:26:45,17:34:45,17:41:45,17:48:45,17:54:45,17:59:45,18:04:45,18:09:45,18:14:45,18:19:45,18:24:45,18:29:45,18:34:45,18:39:45,18:44:45,18:49:45,18:54:45,18:59:45,19:04:45,19:09:45,19:15:45,19:21:45,19:28:45,19:36:45,19:44:45,19:52:45,20:00:45,20:08:45,20:16:45,20:24:45,20:32:45,20:40:45,20:48:45,20:56:45,21:04:45,21:12:45,21:20:45,21:28:45,21:36:45,21:44:45,21:52:45,22:00:45,22:08:45,22:16:45,22:24:45,22:32:45,22:40:45,22:48:45,22:56:45,23:05:45,23:15:45,23:26:45,23:38:45,23:51:15,
서부정류장,05:58:55,06:10:05,06:22:05,06:33:05,06:43:05,06:53:05,07:02:05,07:11:05,07:19:05,07:27:05,07:35:05,07:42:05,07:49:05,07:56:05,08:03:05,08:09:05,08:14:05,08:19:05,08:24:05,08:29:05,08:34:05,08:39:05,08:44:05,08:49:05,08:54:05,08:59:05,09:04:05,09:09:05,09:14:05,09:19:05,09:24:05,09:29:05,09:34:05,09:39:05,09:44:05,09:49:05,09:55:05,10:01:05,10:07:05,10:14:05,10:21:05,10:29:05,10:37:05,10:45:05,10:53:05,11:01:05,11:09:05,11:17:05,11:25:05,11:33:05,11:41:05,11:49:05,11:57:05,12:05:05,12:13:05,12:21:05,12:29:05,12:37:05,12:45:05,12:53:05,13:01:05,13:09:05,13:17:05,13:25:05,13:33:05,13:41:05,13:49:05,13:57:05,14:05:05,14:13:05,14:21:05,14:29:05,14:37:05,14:45:05,14:53:05,15:01:05,15:09:05,15:17:05,15:25:05,15:33:05,15:41:05,15:49:05,15:57:05,16:05:05,16:13:05,16:21:05,16:29:05,16:37:05,16:45:05,16:53:05,17:01:05,17:09:05,17:17:05,17:25:05,17:33:05,17:40:05,17:47:05,17:53:05,17:58:05,18:03:05,18:08:05,18:13:05,18:18:05,18:23:05,18:28:05,18:33:05,18:38:05,18:43:05,18:48:05,18:53:05,18:58:05,19:03:05,19:08:05,19:14:05,19:20:05,19:27:05,19:35:05,19:43:05,19:51:05,19:59:05,20:07:05,20:15:05,20:23:05,20:31:05,20:39:05,20:47:05,20:55:05,21:03:05,21:11:05,21:19:05,21:27:05,21:35:05,21:43:05,21:51:05,21:59:05,22:07:05,22:15:05,22:23:05,22:31:05,22:39:05,22:47:05,22:55:05,23:04:05,23:14:05,23:25:05,23:37:05,23:49:35,
대명,05:57:15,06:08:25,06:20:25,06:31:25,06:41:25,06:51:25,07:00:25,07:09:25,07:17:25,07:25:25,07:33:25,07:40:25,07:47:25,07:54:25,08:01:25,08:07:25,08:12:25,08:17:25,08:22:25,08:27:25,08:32:25,08:37:25,08:42:25,08:47:25,08:52:25,08:57:25,09:02:25,09:07:25,09:12:25,09:17:25,09:22:25,09:27:25,09:32:25,09:37:25,09:42:25,09:47:25,09:53:25,09:59:25,10:05:25,10:12:25,10:19:25,10:27:25,10:35:25,10:43:25,10:51:25,10:59:25,11:07:25,11:15:25,11:23:25,11:31:25,11:39:25,11:47:25,11:55:25,12:03:25,12:11:25,12:19:25,12:27:25,12:35:25,12:43:25,12:51:25,12:59:25,13:07:25,13:15:25,13:23:25,13:31:25,13:39:25,13:47:25,13:55:25,14:03:25,14:11:25,14:19:25,14:27:25,14:35:25,14:43:25,14:51:25,14:59:25,15:07:25,15:15:25,15:23:25,15:31:25,15:39:25,15:47:25,15:55:25,16:03:25,16:11:25,16:19:25,16:27:25,16:35:25,16:43:25,16:51:25,16:59:25,17:07:25,17:15:25,17:23:25,17:31:25,17:38:25,17:45:25,17:51:25,17:56:25,18:01:25,18:06:25,18:11:25,18:16:25,18:21:25,18:26:25,18:31:25,18:36:25,18:41:25,18:46:25,18:51:25,18:56:25,19:01:25,19:06:25,19:12:25,19:18:25,19:25:25,19:33:25,19:41:25,19:49:25,19:57:25,20:05:25,20:13:25,20:21:25,20:29:25,20:37:25,20:45:25,20:53:25,21:01:25,21:09:25,21:17:25,21:25:25,21:33:25,21:41:25,21:49:25,21:57:25,22:05:25,22:13:25,22:21:25,22:29:25,22:37:25,22:45:25,22:53:25,23:02:25,23:12:25,23:23:25,23:35:25,23:47:55,
