,1001,1003,1005,1007,1009,1011,1013,1015,1017,1019,1021,1023,1025,1027,1029,1031,1033,1035,1037,1039,1041,1043,1045,1047,1049,1051,1053,1055,1057,1059,1061,1063,1065,1067,1069,1071,1073,1075,1077,1079,1081,1083,1085,1087,1089,1091,1093,1095,1097,1099,1101,1103,1105,1107,1109,1111,1113,1115,1117,1119,1121,1123,1125,1127,1129,1131,1133,1135,1137,1139,1141,1143,1145,1147,1149,1151,1153,1155,1157,1159,1161,1163,1165,1167,1169,1171,1173,1175,1177,1179,1181,1183,1185,1187,1189,1191,1193,1195,1197,1199,1201,1203,1205,1207,1209,1211,1213,1215,1217,1219,1221,1223,1225,1227,1229,1231,1233,1235,1237,1239,1241,1243,1245,1247,1249,1251,1253,1255,1257,1259,1261,1263,1265,1267,1269,1271,1273,1275,1277,1279,1281,1283,1285,1287,1289,1291,1293,1295
설화명곡,,05:25:30,05:39:00,05:51:00,06:02:00,06:12:00,06:22:00,06:31:00,06:40:00,06:49:00,06:58:00,07:07:00,07:16:00,07:25:00,07:34:00,07:43:00,07:52:00,08:01:00,08:10:00,08:19:00,08:28:00,08:37:00,08:46:00,08:55:00,09:04:00,09:13:00,09:22:00,09:31:00,09:40:00,09:49:00,09:58:00,10:07:00,10:16:00,10:25:00,10:34:00,10:43:00,10:52:00,11:01:00,11:10:00,11:19:00,11:27:00,11:35:00,11:43:00,11:51:00,11:59:00,12:07:00,12:15:00,12:23:00,12:31:00,12:39:00,12:47:00,12:55:00,13:03:00,13:11:00,13:19:00,13:27:00,13:35:00,13:43:00,13:51:00,13:59:00,14:07:00,14:15:00,14:23:00,14:31:00,14:39:00,14:47:00,14:55:00,15:03:00,15:11:00,15:19:00,15:27:00,15:35:00,15:43:00,15:51:00,15:59:00,16:07:00,16:15:00,16:23:00,16:31:00,16:39:00,16:47:00,16:55:00,17:03:00,17:11:00,17:19:00,17:27:00,17:36:00,17:45:00,17:54:00,18:03:00,18:12:00,18:21:00,18:30:00,18:39:00,18:48:00,18:57:00,19:06:00,19:15:00,19:24:00,19:33:00,19:42:00,19:51:00,20:00:00,20:09:00,20:18:00,20:27:00,20:36:00,20:45:00,20:54:00,21:03:00,21:12:00,21:21:00,21:30:00,21:39:00,21:48:00,21:57:00,22:06:00,22:15:00,22:24:00,22:34:00,22:44:00,22:54:00,23:05:00,23:16:10,,,,,,,,,,,,,,,,,,,,,,,,
화원,,05:27:20,05:40:50,05:52:50,06:03:50,06:13:50,06:23:50,06:32:50,06:41:50,06:50:50,06:59:50,07:08:50,07:17:50,07:26:50,07:35:50,07:44:50,07:53:50,08:02:50,08:11:50,08:20:50,08:29:50,08:38:50,08:47:50,08:56:50,09:05:50,09:14:50,09:23:50,09:32:50,09:41:50,09:50:50,09:59:50,10:08:50,10:17:50,10:26:50,10:35:50,10:44:50,10:53:50,11:02:50,11:11:50,11:20:50,11:28:50,11:36:50,11:44:50,11:52:50,12:00:50,12:08:50,12:16:50,12:24:50,12:32:50,12:40:50,12:48:50,12:56:50,13:04:50,13:12:50,13:20:50,13:28:50,13:36:50,13:44:50,13:52:50,14:00:50,14:08:50,14:16:50,14:24:50,14:32:50,14:40:50,14:48:50,14:56:50,15:04:50,15:12:50,15:20:50,15:28:50,15:36:50,15:44:50,15:52:50,16:00:50,16:08:50,16:16:50,16:24:50,16:32:50,16:40:50,16:48:50,16:56:50,17:04:50,17:12:50,17:20:50,17:28:50,17:37:50,17:46:50,17:55:50,18:04:50,18:13:50,18:22:50,18:31:50,18:40:50,18:49:50,18:58:50,19:07:50,19:16:50,19:25:50,19:34:50,19:43:50,19:52:50,20:01:50,20:10:50,20:19:50,20:28:50,20:37:50,20:46:50,20:55:50,21:04:50,21:13:50,21:22:50,21:31:50,21:40:50,21:49:50,21:58:50,22:07:50,22:16:50,22:25:50,22:35:50,22:45:50,22:55:50,23:06:50,23:18:00,,,,,,,,,,,,,,,,,,,,,,,,
대곡,,05:29:35,05:43:05,05:55:05,06:06:05,06:16:05,06:26:05,06:35:05,06:44:05,06:53:05,07:02:05,07:11:05,07:20:05,07:29:05,07:38:05,07:47:05,07:56:05,08:05:05,08:14:05,08:23:05,08:32:05,08:41:05,08:50:05,08:59:05,09:08:05,09:17:05,09:26:05,09:35:05,09:44:05,09:53:05,10:02:05,10:11:05,10:20:05,10:29:05,10:38:05,10:47:05,10:56:05,11:05:05,11:14:05,11:23:05,11:31:05,11:39:05,11:47:05,11:55:05,12:03:05,12:11:05,12:19:05,12:27:05,12:35:05,12:43:05,12:51:05,12:59:05,13:07:05,13:15:05,13:23:05,13:31:05,13:39:05,13:47:05,13:55:05,14:03:05,14:11:05,14:19:05,14:27:05,14:35:05,14:43:05,14:51:05,14:59:05,15:07:05,15:15:05,15:23:05,15:31:05,15:39:05,15:47:05,15:55:05,16:03:05,16:11:05,16:19:05,16:27:05,16:35:05,16:43:05,16:51:05,16:59:05,17:07:05,17:15:05,17:23:05,17:31:05,17:40:05,17:49:05,17:58:05,18:07:05,18:16:05,18:25:05,18:34:05,18:43:05,18:52:05,19:01:05,19:10:05,19:19:05,19:28:05,19:37:05,19:46:05,19:55:05,20:04:05,20:13:05,20:22:05,20:31:05,20:40:05,20:49:05,20:58:05,21:07:05,21:16:05,21:25:05,21:34:05,21:43:05,21:52:05,22:01:05,22:10:05,22:19:05,22:28:05,22:38:05,22:48:05,22:58:05,23:09:05,23:20:15,,,,,,,,,,,,,,,,,,,,,,,,
진천,,05:31:40,05:45:10,05:57:10,06:08:10,06:18:10,06:28:10,06:37:10,06:46:10,06:55:10,07:04:10,07:13:10,07:22:10,07:31:10,07:40:10,07:49:10,07:58:10,08:07:10,08:16:10,08:25:10,08:34:10,08:43:10,08:52:10,09:01:10,09:10:10,09:19:10,09:28:10,09:37:10,09:46:10,09:55:10,10:04:10,10:13:10,10:22:10,10:31:10,10:40:10,10:49:10,10:58:10,11:07:10,11:16:10,11:25:10,11:33:10,11:41:10,11:49:10,11:57:10,12:05:10,12:13:10,12:21:10,12:29:10,12:37:10,12:45:10,12:53:10,13:01:10,13:09:10,13:17:10,13:25:10,13:33:10,13:41:10,13:49:10,13:57:10,14:05:10,14:13:10,14:21:10,14:29:10,14:37:10,14:45:10,14:53:10,15:01:10,15:09:10,15:17:10,15:25:10,15:33:10,15:41:10,15:49:10,15:57:10,16:05:10,16:13:10,16:21:10,16:29:10,16:37:10,16:45:10,16:53:10,17:01:10,17:09:10,17:17:10,17:25:10,17:33:10,17:42:10,17:51:10,18:00:10,18:09:10,18:18:10,18:27:10,18:36:10,18:45:10,18:54:10,19:03:10,19:12:10,19:21:10,19:30:10,19:39:10,19:48:10,19:57:10,20:06:10,20:15:10,20:24:10,20:33:10,20:42:10,20:51:10,21:00:10,21:09:10,21:18:10,21:27:10,21:36:10,21:45:10,21:54:10,22:03:10,22:12:10,22:21:10,22:30:10,22:40:10,22:50:10,23:00:10,23:11:10,23:22:20,,,,,,,,,,,,,,,,,,,,,,,,
월배,,05:33:15,05:46:45,05:58:45,06:09:45,06:19:45,06:29:45,06:38:45,06:47:45,06:56:45,07:05:45,07:14:45,07:23:45,07:32:45,07:41:45,07:50:45,07:59:45,08:08:45,08:17:45,08:26:45,08:35:45,08:44:45,08:53:45,09:02:45,09:11:45,09:20:45,09:29:45,09:38:45,09:47:45,09:56:45,10:05:45,10:14:45,10:23:45,10:32:45,10:41:45,10:50:45,10:59:45,11:08:45,11:17:45,11:26:45,11:34:45,11:42:45,11:50:45,11:58:45,12:06:45,12:14:45,12:22:45,12:30:45,12:38:45,12:46:45,12:54:45,13:02:45,13:10:45,13:18:45,13:26:45,13:34:45,13:42:45,13:50:45,13:58:45,14:06:45,14:14:45,14:22:45,14:30:45,14:38:45,14:46:45,14:54:45,15:02:45,15:10:45,15:18:45,15:26:45,15:34:45,15:42:45,15:50:45,15:58:45,16:06:45,16:14:45,16:22:45,16:30:45,16:38:45,16:46:45,16:54:45,17:02:45,17:10:45,17:18:45,17:26:45,17:34:45,17:43:45,17:52:45,18:01:45,18:10:45,18:19:45,18:28:45,18:37:45,18:46:45,18:55:45,19:04:45,19:13:45,19:22:45,19:31:45,19:40:45,19:49:45,19:58:45,20:07:45,20:16:45,20:25:45,20:34:45,20:43:45,20:52:45,21:01:45,21:10:45,21:19:45,21:28:45,21:37:45,21:46:45,21:55:45,22:04:45,22:13:45,22:22:45,22:31:45,22:41:45,22:51:45,23:01:45,23:12:45,23:23:55,,,,,,,,,,,,,,,,,,,,,,,,
상인,,05:34:50,05:48:20,06:00:20,06:11:20,06:21:20,06:31:20,06:40:20,06:49:20,06:58:20,07:07:20,07:16:20,07:25:20,07:34:20,07:43:20,07:52:20,08:01:20,08:10:20,08:19:20,08:28:20,08:37:20,08:46:20,08:55:20,09:04:20,09:13:20,09:22:20,09:31:20,09:40:20,09:49:20,09:58:20,10:07:20,10:16:20,10:25:20,10:34:20,10:43:20,10:52:20,11:01:20,11:10:20,11:19:20,11:28:20,11:36:20,11:44:20,11:52:20,12:00:20,12:08:20,12:16:20,12:24:20,12:32:20,12:40:20,12:48:20,12:56:20,13:04:20,13:12:20,13:20:20,13:28:20,13:36:20,13:44:20,13:52:20,14:00:20,14:08:20,14:16:20,14:24:20,14:32:20,14:40:20,14:48:20,14:56:20,15:04:20,15:12:20,15:20:20,15:28:20,15:36:20,15:44:20,15:52:20,16:00:20,16:08:20,16:16:20,16:24:20,16:32:20,16:40:20,16:48:20,16:56:20,17:04:20,17:12:20,17:20:20,17:28:20,17:36:20,17:45:20,17:54:20,18:03:20,18:12:20,18:21:20,18:30:20,18:39:20,18:48:20,18:57:20,19:06:20,19:15:20,19:24:20,19:33:20,19:42:20,19:51:20,20:00:20,20:09:20,20:18:20,20:27:20,20:36:20,20:45:20,20:54:20,21:03:20,21:12:20,21:21:20,21:30:20,21:39:20,21:48:20,21:57:20,22:06:20,22:15:20,22:24:20,22:33:20,22:43:20,22:53:20,23:03:20,23:14:20,23:25:30,,,,,,,,,,,,,,,,,,,,,,,,
월촌,,05:36:35,05:50:05,06:02:05,06:13:05,06:23:05,06:33:05,06:42:05,06:51:05,07:00:05,07:09:05,07:18:05,07:27:05,07:36:05,07:45:05,07:54:05,08:03:05,08:12:05,08:21:05,08:30:05,08:39:05,08:48:05,08:57:05,09:06:05,09:15:05,09:24:05,09:33:05,09:42:05,09:51:05,10:00:05,10:09:05,10:18:05,10:27:05,10:36:05,10:45:05,10:54:05,11:03:05,11:12:05,11:21:05,11:30:05,11:38:05,11:46:05,11:54:05,12:02:05,12:10:05,12:18:05,12:26:05,12:34:05,12:42:05,12:50:05,12:58:05,13:06:05,13:14:05,13:22:05,13:30:05,13:38:05,13:46:05,13:54:05,14:02:05,14:10:05,14:18:05,14:26:05,14:34:05,14:42:05,14:50:05,14:58:05,15:06:05,15:14:05,15:22:05,15:30:05,15:38:05,15:46:05,15:54:05,16:02:05,16:10:05,16:18:05,16:26:05,16:34:05,16:42:05,16:50:05,16:58:05,17:06:05,17:14:05,17:22:05,17:30:05,17:38:05,17:47:05,17:56:05,18:05:05,18:14:05,18:23:05,18:32:05,18:41:05,18:50:05,18:59:05,19:08:05,19:17:05,19:26:05,19:35:05,19:44:05,19:53:05,20:02:05,20:11:05,20:20:05,20:29:05,20:38:05,20:47:05,20:56:05,21:05:05,21:14:05,21:23:05,21:32:05,21:41:05,21:50:05,21:59:05,22:08:05,22:17:05,22:26:05,22:35:05,22:45:05,22:55:05,23:05:05,23:16:05,23:27:15,,,,,,,,,,,,,,,,,,,,,,,,
송현,,05:38:20,05:51:50,06:03:50,06:14:50,06:24:50,06:34:50,06:43:50,06:52:50,07:01:50,07:10:50,07:19:50,07:28:50,07:37:50,07:46:50,07:55:50,08:04:50,08:13:50,08:22:50,08:31:50,08:40:50,08:49:50,08:58:50,09:07:50,09:16:50,09:25:50,09:34:50,09:43:50,09:52:50,10:01:50,10:10:50,10:19:50,10:28:50,10:37:50,10:46:50,10:55:50,11:04:50,11:13:50,11:22:50,11:31:50,11:39:50,11:47:50,11:55:50,12:03:50,12:11:50,12:19:50,12:27:50,12:35:50,12:43:50,12:51:50,12:59:50,13:07:50,13:15:50,13:23:50,13:31:50,13:39:50,13:47:50,13:55:50,14:03:50,14:11:50,14:19:50,14:27:50,14:35:50,14:43:50,14:51:50,14:59:50,15:07:50,15:15:50,15:23:50,15:31:50,15:39:50,15:47:50,15:55:50,16:03:50,16:11:50,16:19:50,16:27:50,16:35:50,16:43:50,16:51:50,16:59:50,17:07:50,17:15:50,17:23:50,17:31:50,17:39:50,17:48:50,17:57:50,18:06:50,18:15:50,18:24:50,18:33:50,18:42:50,18:51:50,19:00:50,19:09:50,19:18:50,19:27:50,19:36:50,19:45:50,19:54:50,20:03:50,20:12:50,20:21:50,20:30:50,20:39:50,20:48:50,20:57:50,21:06:50,21:15:50,21:24:50,21:33:50,21:42:50,21:51:50,22:00:50,22:09:50,22:18:50,22:27:50,22:36:50,22:46:50,22:56:50,23:06:50,23:17:50,23:29:00,,,,,,,,,,,,,,,,,,,,,,,,
서부정류장,,05:40:00,05:53:30,06:05:30,06:16:30,06:26:30,06:36:30,06:45:30,06:54:30,07:03:30,07:12:30,07:21:30,07:30:30,07:39:30,07:48:30,07:57:30,08:06:30,08:15:30,08:24:30,08:33:30,08:42:30,08:51:30,09:00:30,09:09:30,09:18:30,09:27:30,09:36:30,09:45:30,09:54:30,10:03:30,10:12:30,10:21:30,10:30:30,10:39:30,10:48:30,10:57:30,11:06:30,11:15:30,11:24:30,11:33:30,11:41:30,11:49:30,11:57:30,12:05:30,12:13:30,12:21:30,12:29:30,12:37:30,12:45:30,12:53:30,13:01:30,13:09:30,13:17:30,13:25:30,13:33:30,13:41:30,13:49:30,13:57:30,14:05:30,14:13:30,14:21:30,14:29:30,14:37:30,14:45:30,14:53:30,15:01:30,15:09:30,15:17:30,15:25:30,15:33:30,15:41:30,15:49:30,15:57:30,16:05:30,16:13:30,16:21:30,16:29:30,16:37:30,16:45:30,16:53:30,17:01:30,17:09:30,17:17:30,17:25:30,17:33:30,17:41:30,17:50:30,17:59:30,18:08:30,18:17:30,18:26:30,18:35:30,18:44:30,18:53:30,19:02:30,19:11:30,19:20:30,19:29:30,19:38:30,19:47:30,19:56:30,20:05:30,20:14:30,20:23:30,20:32:30,20:41:30,20:50:30,20:59:30,21:08:30,21:17:30,21:26:30,21:35:30,21:44:30,21:53:30,22:02:30,22:11:30,22:20:30,22:29:30,22:38:30,22:48:30,22:58:30,23:08:30,23:19:30,23:30:40,,,,,,,,,,,,,,,,,,,,,,,,
대명,,05:41:40,05:55:10,06:07:10,06:18:10,06:28:10,06:38:10,06:47:10,06:56:10,07:05:10,07:14:10,07:23:10,07:32:10,07:41:10,07:50:10,07:59:10,08:08:10,08:17:10,08:26:10,08:35:10,08:44:10,08:53:10,09:02:10,09:11:10,09:20:10,09:29:10,09:38:10,09:47:10,09:56:10,10:05:10,10:14:10,10:23:10,10:32:10,10:41:10,10:50:10,10:59:10,11:08:10,11:17:10,11:26:10,11:35:10,11:43:10,11:51:10,11:59:10,12:07:10,12:15:10,12:23:10,12:31:10,12:39:10,12:47:10,12:55:10,13:03:10,13:11:10,13:19:10,13:27:10,13:35:10,13:43:10,13:51:10,13:59:10,14:07:10,14:15:10,14:23:10,14:31:10,14:39:10,14:47:10,14:55:10,15:03:10,15:11:10,15:19:10,15:27:10,15:35:10,15:43:10,15:51:10,15:59:10,16:07:10,16:15:10,16:23:10,16:31:10,16:39:10,16:47:10,16:55:10,17:03:10,17:11:10,17:19:10,17:27:10,17:35:10,17:43:10,17:52:10,18:01:10,18:10:10,18:19:10,18:28:10,18:37:10,18:46:10,18:55:10,19:04:10,19:13:10,19:22:10,19:31:10,19:40:10,19:49:10,19:58:10,20:07:10,20:16:10,20:25:10,20:34:10,20:43:10,20:52:10,21:01:10,21:10:10,21:19:10,21:28:10,21:37:10,21:46:10,21:55:10,22:04:10,22:13:10,22:22:10,22:31:10,22:40:10,22:50:10,23:00:10,23:10:10,23:21:10,23:32:20,,,,,,,,,,,,,,,,,,,,,,,,
