,1002,1004,1006,1008,1010,1012,1014,1016,1018,1020,1022,1024,1026,1028,1030,1032,1034,1036,1038,1040,1042,1044,1046,1048,1050,1052,1054,1056,1058,1060,1062,1064,1066,1068,1070,1072,1074,1076,1078,1080,1082,1084,1086,1088,1090,1092,1094,1096,1098,1100,1102,1104,1106,1108,1110,1112,1114,1116,1118,1120,1122,1124,1126,1128,1130,1132,1134,1136,1138,1140,1142,1144,1146,1148,1150,1152,1154,1156,1158,1160,1162,1164,1166,1168,1170,1172,1174,1176,1178,1180,1182,1184,1186,1188,1190,1192,1194,1196,1198,1200,1202,1204,1206,1208,1210,1212,1214,1216,1218,1220,1222,1224,1226,1228,1230,1232,1234,1236,1238,1240,1242,1244,1246,1248,1250,1252,1254,1256,1258,1260,1262,1264,1266,1268,1270,1272,1274,1276,1278,1280,1282,1284,1286,1288,1290,1292,1294,1296
설화명곡,06:13:50,06:25:00,06:37:00,06:48:00,06:58:00,07:08:00,07:17:00,07:26:00,07:35:00,07:44:00,07:53:00,08:02:00,08:11:00,08:20:00,08:29:00,08:38:00,08:47:00,08:56:00,09:05:00,09:14:00,09:23:00,09:32:00,09:41:00,09:50:00,09:59:00,10:08:00,10:17:00,10:26:00,10:35:00,10:44:00,10:53:00,11:02:00,11:11:00,11:20:00,11:29:00,11:38:00,11:47:00,11:56:00,12:05:00,12:14:00,12:22:00,12:30:00,12:38:00,12:46:00,12:54:00,13:02:00,13:10:00,13:18:00,13:26:00,13:34:00,13:42:00,13:50:00,13:58:00,14:06:00,14:14:00,14:22:00,14:30:00,14:38:00,14:46:00,14:54:00,15:02:00,15:10:00,15:18:00,15:26:00,15:34:00,15:42:00,15:50:00,15:58:00,16:06:00,16:14:00,16:22:00,16:30:00,16:38:00,16:46:00,16:54:00,17:02:00,17:10:00,17:18:00,17:26:00,17:34:00,17:42:00,17:50:00,17:58:00,18:06:00,18:14:00,18:22:00,18:31:00,18:40:00,18:49:00,18:58:00,19:07:00,19:16:00,19:25:00,19:34:00,19:43:00,19:52:00,20:01:00,20:10:00,20:19:00,20:28:00,20:37:00,20:46:00,20:55:00,21:04:00,21:13:00,21:22:00,21:31:00,21:40:00,21:49:00,21:58:00,22:07:00,22:16:00,22:25:00,22:34:00,22:43:00,22:52:00,23:01:00,23:10:00,23:19:00,23:29:00,23:40:00,23:52:00,00:04:30,,,,,,,,,,,,,,,,,,,,,,,,,
화원,06:11:35,06:22:45,06:34:45,06:45:45,06:55:45,07:05:45,07:14:45,07:23:45,07:32:45,07:41:45,07:50:45,07:59:45,08:08:45,08:17:45,08:26:45,08:35:45,08:44:45,08:53:45,09:02:45,09:11:45,09:20:45,09:29:45,09:38:45,09:47:45,09:56:45,10:05:45,10:14:45,10:23:45,10:32:45,10:41:45,10:50:45,10:59:45,11:08:45,11:17:45,11:26:45,11:35:45,11:44:45,11:53:45,12:02:45,12:11:45,12:19:45,12:27:45,12:35:45,12:43:45,12:51:45,12:59:45,13:07:45,13:15:45,13:23:45,13:31:45,13:39:45,13:47:45,13:55:45,14:03:45,14:11:45,14:19:45,14:27:45,14:35:45,14:43:45,14:51:45,14:59:45,15:07:45,15:15:45,15:23:45,15:31:45,15:39:45,15:47:45,15:55:45,16:03:45,16:11:45,16:19:45,16:27:45,16:35:45,16:43:45,16:51:45,16:59:45,17:07:45,17:15:45,17:23:45,17:31:45,17:39:45,17:47:45,17:55:45,18:03:45,18:11:45,18:19:45,18:28:45,18:37:45,18:46:45,18:55:45,19:04:45,19:13:45,19:22:45,19:31:45,19:40:45,19:49:45,19:58:45,20:07:45,20:16:45,20:25:45,20:34:45,20:43:45,20:52:45,21:01:45,21:10:45,21:19:45,21:28:45,21:37:45,21:46:45,21:55:45,22:04:45,22:13:45,22:22:45,22:31:45,22:40:45,22:49:45,22:58:45,23:07:45,23:16:45,23:26:45,23:37:45,23:49:45,00:02:15,,,,,,,,,,,,,,,,,,,,,,,,,
대곡,06:09:20,06:20:30,06:32:30,06:43:30,06:53:30,07:03:30,07:12:30,07:21:30,07:30:30,07:39:30,07:48:30,07:57:30,08:06:30,08:15:30,08:24:30,08:33:30,08:42:30,08:51:30,09:00:30,09:09:30,09:18:30,09:27:30,09:36:30,09:45:30,09:54:30,10:03:30,10:12:30,10:21:30,10:30:30,10:39:30,10:48:30,10:57:30,11:06:30,11:15:30,11:24:30,11:33:30,11:42:30,11:51:30,12:00:30,12:09:30,12:17:30,12:25:30,12:33:30,12:41:30,12:49:30,12:57:30,13:05:30,13:13:30,13:21:30,13:29:30,13:37:30,13:45:30,13:53:30,14:01:30,14:09:30,14:17:30,14:25:30,14:33:30,14:41:30,14:49:30,14:57:30,15:05:30,15:13:30,15:21:30,15:29:30,15:37:30,15:45:30,15:53:30,16:01:30,16:09:30,16:17:30,16:25:30,16:33:30,16:41:30,16:49:30,16:57:30,17:05:30,17:13:30,17:21:30,17:29:30,17:37:30,17:45:30,17:53:30,18:01:30,18:09:30,18:17:30,18:26:30,18:35:30,18:44:30,18:53:30,19:02:30,19:11:30,19:20:30,19:29:30,19:38:30,19:47:30,19:56:30,20:05:30,20:14:30,20:23:30,20:32:30,20:41:30,20:50:30,20:59:30,21:08:30,21:17:30,21:26:30,21:35:30,21:44:30,21:53:30,22:02:30,22:11:30,22:20:30,22:29:30,22:38:30,22:47:30,22:56:30,23:05:30,23:14:30,23:24:30,23:35:30,23:47:30,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
진천,06:07:15,06:18:25,06:30:25,06:41:25,06:51:25,07:01:25,07:10:25,07:19:25,07:28:25,07:37:25,07:46:25,07:55:25,08:04:25,08:13:25,08:22:25,08:31:25,08:40:25,08:49:25,08:58:25,09:07:25,09:16:25,09:25:25,09:34:25,09:43:25,09:52:25,10:01:25,10:10:25,10:19:25,10:28:25,10:37:25,10:46:25,10:55:25,11:04:25,11:13:25,11:22:25,11:31:25,11:40:25,11:49:25,11:58:25,12:07:25,12:15:25,12:23:25,12:31:25,12:39:25,12:47:25,12:55:25,13:03:25,13:11:25,13:19:25,13:27:25,13:35:25,13:43:25,13:51:25,13:59:25,14:07:25,14:15:25,14:23:25,14:31:25,14:39:25,14:47:25,14:55:25,15:03:25,15:11:25,15:19:25,15:27:25,15:35:25,15:43:25,15:51:25,15:59:25,16:07:25,16:15:25,16:23:25,16:31:25,16:39:25,16:47:25,16:55:25,17:03:25,17:11:25,17:19:25,17:27:25,17:35:25,17:43:25,17:51:25,17:59:25,18:07:25,18:15:25,18:24:25,18:33:25,18:42:25,18:51:25,19:00:25,19:09:25,19:18:25,19:27:25,19:36:25,19:45:25,19:54:25,20:03:25,20:12:25,20:21:25,20:30:25,20:39:25,20:48:25,20:57:25,21:06:25,21:15:25,21:24:25,21:33:25,21:42:25,21:51:25,22:00:25,22:09:25,22:18:25,22:27:25,22:36:25,22:45:25,22:54:25,23:03:25,23:12:25,23:22:25,23:33:25,23:45:25,23:57:55,,,,,,,,,,,,,,,,,,,,,,,,,
월배,06:05:40,06:16:50,06:28:50,06:39:50,06:49:50,06:59:50,07:08:50,07:17:50,07:26:50,07:35:50,07:44:50,07:53:50,08:02:50,08:11:50,08:20:50,08:29:50,08:38:50,08:47:50,08:56:50,09:05:50,09:14:50,09:23:50,09:32:50,09:41:50,09:50:50,09:59:50,10:08:50,10:17:50,10:26:50,10:35:50,10:44:50,10:53:50,11:02:50,11:11:50,11:20:50,11:29:50,11:38:50,11:47:50,11:56:50,12:05:50,12:13:50,12:21:50,12:29:50,12:37:50,12:45:50,12:53:50,13:01:50,13:09:50,13:17:50,13:25:50,13:33:50,13:41:50,13:49:50,13:57:50,14:05:50,14:13:50,14:21:50,14:29:50,14:37:50,14:45:50,14:53:50,15:01:50,15:09:50,15:17:50,15:25:50,15:33:50,15:41:50,15:49:50,15:57:50,16:05:50,16:13:50,16:21:50,16:29:50,16:37:50,16:45:50,16:53:50,17:01:50,17:09:50,17:17:50,17:25:50,17:33:50,17:41:50,17:49:50,17:57:50,18:05:50,18:13:50,18:22:50,18:31:50,18:40:50,18:49:50,18:58:50,19:07:50,19:16:50,19:25:50,19:34:50,19:43:50,19:52:50,20:01:50,20:10:50,20:19:50,20:28:50,20:37:50,20:46:50,20:55:50,21:04:50,21:13:50,21:22:50,21:31:50,21:40:50,21:49:50,21:58:50,22:07:50,22:16:50,22:25:50,22:34:50,22:43:50,22:52:50,23:01:50,23:10:50,23:20:50,23:31:50,23:43:50,23:56:20,,,,,,,,,,,,,,,,,,,,,,,,,
상인,06:04:05,06:15:15,06:27:15,06:38:15,06:48:15,06:58:15,07:07:15,07:16:15,07:25:15,07:34:15,07:43:15,07:52:15,08:01:15,08:10:15,08:19:15,08:28:15,08:37:15,08:46:15,08:55:15,09:04:15,09:13:15,09:22:15,09:31:15,09:40:15,09:49:15,09:58:15,10:07:15,10:16:15,10:25:15,10:34:15,10:43:15,10:52:15,11:01:15,11:10:15,11:19:15,11:28:15,11:37:15,11:46:15,11:55:15,12:04:15,12:12:15,12:20:15,12:28:15,12:36:15,12:44:15,12:52:15,13:00:15,13:08:15,13:16:15,13:24:15,13:32:15,13:40:15,13:48:15,13:56:15,14:04:15,14:12:15,14:20:15,14:28:15,14:36:15,14:44:15,14:52:15,15:00:15,15:08:15,15:16:15,15:24:15,15:32:15,15:40:15,15:48:15,15:56:15,16:04:15,16:12:15,16:20:15,16:28:15,16:36:15,16:44:15,16:52:15,17:00:15,17:08:15,17:16:15,17:24:15,17:32:15,17:40:15,17:48:15,17:56:15,18:04:15,18:12:15,18:21:15,18:30:15,18:39:15,18:48:15,18:57:15,19:06:15,19:15:15,19:24:15,19:33:15,19:42:15,19:51:15,20:00:15,20:09:15,20:18:15,20:27:15,20:36:15,20:45:15,20:54:15,21:03:15,21:12:15,21:21:15,21:30:15,21:39:15,21:48:15,21:57:15,22:06:15,22:15:15,22:24:15,22:33:15,22:42:15,22:51:15,23:00:15,23:09:15,23:19:15,23:30:15,23:42:15,23:54:45,,,,,,,,,,,,,,,,,,,,,,,,,
월촌,06:02:20,06:13:30,06:25:30,06:36:30,06:46:30,06:56:30,07:05:30,07:14:30,07:23:30,07:32:30,07:41:30,07:50:30,07:59:30,08:08:30,08:17:30,08:26:30,08:35:30,08:44:30,08:53:30,09:02:30,09:11:30,09:20:30,09:29:30,09:38:30,09:47:30,09:56:30,10:05:30,10:14:30,10:23:30,10:32:30,10:41:30,10:50:30,10:59:30,11:08:30,11:17:30,11:26:30,11:35:30,11:44:30,11:53:30,12:02:30,12:10:30,12:18:30,12:26:30,12:34:30,12:42:30,12:50:30,12:58:30,13:06:30,13:14:30,13:22:30,13:30:30,13:38:30,13:46:30,13:54:30,14:02:30,14:10:30,14:18:30,14:26:30,14:34:30,14:42:30,14:50:30,14:58:30,15:06:30,15:14:30,15:22:30,15:30:30,15:38:30,15:46:30,15:54:30,16:02:30,16:10:30,16:18:30,16:26:30,16:34:30,16:42:30,16:50:30,16:58:30,17:06:30,17:14:30,17:22:30,17:30:30,17:38:30,17:46:30,17:54:30,18:02:30,18:10:30,18:19:30,18:28:30,18:37:30,18:46:30,18:55:30,19:04:30,19:13:30,19:22:30,19:31:30,19:40:30,19:49:30,19:58:30,20:07:30,20:16:30,20:25:30,20:34:30,20:43:30,20:52:30,21:01:30,21:10:30,21:19:30,21:28:30,21:37:30,21:46:30,21:55:30,22:04:30,22:13:30,22:22:30,22:31:30,22:40:30,22:49:30,22:58:30,23:07:30,23:17:30,23:28:30,23:40:30,23:53:00,,,,,,,,,,,,,,,,,,,,,,,,,
송현,06:00:35,06:11:45,06:23:45,06:34:45,06:44:45,06:54:45,07:03:45,07:12:45,07:21:45,07:30:45,07:39:45,07:48:45,07:57:45,08:06:45,08:15:45,08:24:45,08:33:45,08:42:45,08:51:45,09:00:45,09:09:45,09:18:45,09:27:45,09:36:45,09:45:45,09:54:45,10:03:45,10:12:45,10:21:45,10:30:45,10:39:45,10:48:45,10:57:45,11:06:45,11:15:45,11:24:45,11:33:45,11:42:45,11:51:45,12:00:45,12:08:45,12:16:45,12:24:45,12:32:45,12:40:45,12:48:45,12:56:45,13:04:45,13:12:45,13:20:45,13:28:45,13:36:45,13:44:45,13:52:45,14:00:45,14:08:45,14:16:45,14:24:45,14:32:45,14:40:45,14:48:45,14:56:45,15:04:45,15:12:45,15:20:45,15:28:45,15:36:45,15:44:45,15:52:45,16:00:45,16:08:45,16:16:45,16:24:45,16:32:45,16:40:45,16:48:45,16:56:45,17:04:45,17:12:45,17:20:45,17:28:45,17:36:45,17:44:45,17:52:45,18:00:45,18:08:45,18:17:45,18:26:45,18:35:45,18:44:45,18:53:45,19:02:45,19:11:45,19:20:45,19:29:45,19:38:45,19:47:45,19:56:45,20:05:45,20:14:45,20:23:45,20:32:45,20:41:45,20:50:45,20:59:45,21:08:45,21:17:45,21:26:45,21:35:45,21:44:45,21:53:45,22:02:45,22:11:45,22:20:45,22:29:45,22:38:45,22:47:45,22:56:45,23:05:45,23:15:45,23:26:45,23:38:45,23:51:15,,,,,,,,,,,,,,,,,,,,,,,,,
서부정류장,05:58:55,06:10:05,06:22:05,06:33:05,06:43:05,06:53:05,07:02:05,07:11:05,07:20:05,07:29:05,07:38:05,07:47:05,07:56:05,08:05:05,08:14:05,08:23:05,08:32:05,08:41:05,08:50:05,08:59:05,09:08:05,09:17:05,09:26:05,09:35:05,09:44:05,09:53:05,10:02:05,10:11:05,10:20:05,10:29:05,10:38:05,10:47:05,10:56:05,11:05:05,11:14:05,11:23:05,11:32:05,11:41:05,11:50:05,11:59:05,12:07:05,12:15:05,12:23:05,12:31:05,12:39:05,12:47:05,12:55:05,13:03:05,13:11:05,13:19:05,13:27:05,13:35:05,13:43:05,13:51:05,13:59:05,14:07:05,14:15:05,14:23:05,14:31:05,14:39:05,14:47:05,14:55:05,15:03:05,15:11:05,15:19:05,15:27:05,15:35:05,15:43:05,15:51:05,15:59:05,16:07:05,16:15:05,16:23:05,16:31:05,16:39:05,16:47:05,16:55:05,17:03:05,17:11:05,17:19:05,17:27:05,17:35:05,17:43:05,17:51:05,17:59:05,18:07:05,18:16:05,18:25:05,18:34:05,18:43:05,18:52:05,19:01:05,19:10:05,19:19:05,19:28:05,19:37:05,19:46:05,19:55:05,20:04:05,20:13:05,20:22:05,20:31:05,20:40:05,20:49:05,20:58:05,21:07:05,21:16:05,21:25:05,21:34:05,21:43:05,21:52:05,22:01:05,22:10:05,22:19:05,22:28:05,22:37:05,22:46:05,22:55:05,23:04:05,23:14:05,23:25:05,23:37:05,23:49:35,,,,,,,,,,,,,,,,,,,,,,,,,
대명,05:57:15,06:08:25,06:20:25,06:31:25,06:41:25,06:51:25,07:00:25,07:09:25,07:18:25,07:27:25,07:36:25,07:45:25,07:54:25,08:03:25,08:12:25,08:21:25,08:30:25,08:39:25,08:48:25,08:57:25,09:06:25,09:15:25,09:24:25,09:33:25,09:42:25,09:51:25,10:00:25,10:09:25,10:18:25,10:27:25,10:36:25,10:45:25,10:54:25,11:03:25,11:12:25,11:21:25,11:30:25,11:39:25,11:48:25,11:57:25,12:05:25,12:13:25,12:21:25,12:29:25,12:37:25,12:45:25,12:53:25,13:01:25,13:09:25,13:17:25,13:25:25,13:33:25,13:41:25,13:49:25,13:57:25,14:05:25,14:13:25,14:21:25,14:29:25,14:37:25,14:45:25,14:53:25,15:01:25,15:09:25,15:17:25,15:25:25,15:33:25,15:41:25,15:49:25,15:57:25,16:05:25,16:13:25,16:21:25,16:29:25,16:37:25,16:45:25,16:53:25,17:01:25,17:09:25,17:17:25,17:25:25,17:33:25,17:41:25,17:49:25,17:57:25,18:05:25,18:14:25,18:23:25,18:32:25,18:41:25,18:50:25,18:59:25,19:08:25,19:17:25,19:26:25,19:35:25,19:44:25,19:53:25,20:02:25,20:11:25,20:20:25,20:29:25,20:38:25,20:47:25,20:56:25,21:05:25,21:14:25,21:23:25,21:32:25,21:41:25,21:50:25,21:59:25,22:08:25,22:17:25,22:26:25,22:35:25,22:44:25,22:53:25,23:02:25,23:12:25,23:23:25,23:35:25,23:47:55,,,,,,,,,,,,,,,,,,,,,,,,,
