시발역,망양  ,망양  ,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,,,,,,,,,,,,
종착역,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,부전  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,,,,,,,,,,,,
열차번호,K8652,K8654,K8502,K8504,K8656,K8506,K8508,K8510,K8512,K8514,K8516,K8518,K8520,K8658,K8662,K8660,K8524,K8664,K8526,K8528,K8530,K8532,K8534,K8536,K8538,K8540,K8542,K8544,K8546,K8666,K8548,K8550,K8552,K8668,K8554,K8670,K8556,K8558,K8560,K8562,K8564,K8566,K8568,K8570,K8572,K8574,K8576,K8578,K8580,K8582,K8584,K8586,K8672,,,,,,,,,,,,
태화강,        ,        ,05:36:00,05:52:00,,06:20:00,06:35:00,06:47:00,07:06:00,07:25:00,07:43:00,08:02:00,08:18:00,,09:03:00,,09:18:00,09:30:00,09:51:00,10:15:00,10:46:00,11:18:00,11:41:00,12:05:00,12:49:00,13:23:00,13:48:00,14:11:00,14:42:00,,15:29:00,15:55:00,16:21:00,,16:56:00,,17:22:00,17:38:00,18:01:00,18:20:00,18:37:00,18:55:00,19:09:00,19:31:00,19:50:00,20:13:00,20:36:00,21:09:00,21:28:00,21:55:00,22:25:00,23:00:00,23:30:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개운포,        ,        ,05:40:30,05:56:30,        ,06:24:30,06:39:30,06:51:30,07:10:30,07:29:30,07:47:30,08:06:30,08:22:30,        ,09:07:30,        ,09:22:30,09:34:30,09:55:30,10:19:30,10:50:30,11:22:30,11:45:30,12:09:30,12:53:30,13:27:30,13:52:30,14:15:30,14:46:30,        ,15:33:30,15:59:30,16:25:30,        ,17:00:30,        ,17:26:30,17:42:30,18:05:30,18:24:30,18:41:30,18:59:30,19:13:30,19:35:30,19:54:30,20:17:30,20:40:30,21:13:30,21:32:30,21:59:30,22:29:30,23:04:30,23:34:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕하  ,        ,        ,05:43:30,05:59:30,        ,06:27:30,06:42:30,06:54:30,07:13:30,07:32:30,07:50:30,08:09:30,08:25:30,        ,09:10:30,        ,09:25:30,09:37:30,09:58:30,10:22:30,10:53:30,11:25:30,11:48:30,12:12:30,12:56:30,13:30:30,13:55:30,14:18:30,14:49:30,        ,15:36:30,16:02:30,16:28:30,        ,17:03:30,        ,17:29:30,17:45:30,18:08:30,18:27:30,18:44:30,19:02:30,19:16:30,19:38:30,19:57:30,20:20:30,20:43:30,21:16:30,21:35:30,22:02:30,22:32:30,23:07:30,23:37:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망양  ,        ,        ,05:48:00,06:04:00,        ,06:32:00,06:47:00,06:59:00,07:18:00,07:37:00,07:55:00,08:14:00,08:30:00,        ,09:15:00,        ,09:30:00,09:42:00,10:03:00,10:27:00,10:58:00,11:30:00,11:53:00,12:17:00,13:05:30,13:35:00,14:00:00,14:23:00,14:54:00,        ,15:41:00,16:07:00,16:33:00,        ,17:08:00,        ,17:34:00,17:50:00,18:13:00,18:32:00,18:49:00,19:07:00,19:21:00,19:43:00,20:02:00,20:25:00,20:48:00,21:21:00,21:40:00,22:07:00,22:37:00,23:12:00,23:42:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남창  ,05:24:00,05:38:00,05:52:30,06:08:30,06:20:00,06:36:30,06:51:30,07:03:30,07:22:30,07:41:30,07:59:30,08:18:30,08:34:30,08:57:00,        ,09:16:00,09:34:30,        ,10:07:30,10:31:30,11:02:30,11:34:30,11:57:30,12:21:30,13:10:00,13:39:30,14:04:30,14:27:30,14:58:30,15:22:00,15:51:00,16:11:30,16:37:30,16:56:00,17:12:30,17:24:00,17:38:30,17:54:30,18:23:00,18:36:30,18:53:30,19:11:30,19:25:30,19:47:30,20:06:30,20:29:30,20:52:30,21:25:30,21:49:00,22:11:30,22:41:30,23:16:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서생  ,05:31:30,05:45:30,06:00:00,06:16:00,06:27:30,06:44:00,06:59:00,07:11:00,07:30:00,07:49:00,08:07:00,08:26:00,08:42:00,09:04:30,        ,09:23:30,09:42:00,        ,10:15:00,10:39:00,11:10:00,11:42:00,12:05:00,12:29:00,13:17:30,13:47:00,14:12:00,14:35:00,15:06:00,15:29:30,15:58:30,16:19:00,16:45:00,17:03:30,17:20:00,17:31:30,17:46:00,18:02:00,18:30:30,18:44:00,19:01:00,19:19:00,19:33:00,19:55:00,20:14:00,20:37:00,21:00:00,21:33:00,21:56:30,22:19:00,22:49:00,23:24:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
